Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate:,Margin of Error; High school graduate:,Estimate; High school graduate: - In labor force:,Margin of Error; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Margin of Error; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Margin of Error; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Margin of Error; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force,Margin of Error; High school graduate: - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",3297942,3400,295483,10919,216703,9409,0,184,216703,9409,195386,9057,21317,2223,78780,4426,602503,12516,482023,11189,1829,723,480194,11211,436335,10157,43859,3642,120480,5369,762135,13050,639092,11895,9867,1501,629225,12001,590854,11220,38371,3014,123043,4732,1637821,16612,1458538,16272,20384,1790,1438154,16411,1395537,16286,42617,3132,179283,5978
47940,"Waterloo-Cedar Falls, IA Metro Area",82214,969,7155,1138,4858,1020,0,151,4858,1020,4191,1032,667,413,2297,594,25412,1878,20318,1602,0,151,20318,1602,19429,1579,889,357,5094,957,25297,1589,21586,1464,36,60,21550,1457,20591,1512,959,375,3711,695,24350,2046,21089,1782,0,151,21089,1782,20670,1755,419,272,3261,735
48140,"Wausau, WI Metro Area",71728,505,5106,933,3814,861,0,145,3814,861,2836,649,978,575,1292,376,25199,1715,20617,1638,35,59,20582,1643,19363,1634,1219,413,4582,824,23247,1678,20103,1729,16,26,20087,1727,18577,1575,1510,703,3144,743,18176,1831,16309,1645,0,145,16309,1645,15757,1603,552,237,1867,584
48300,"Wenatchee-East Wenatchee, WA Metro Area",56832,1033,9992,1570,7258,1204,0,192,7258,1204,6528,1218,730,429,2734,903,15836,2051,11225,1803,0,192,11225,1803,10019,1707,1206,573,4611,1167,18605,2094,13407,1824,0,192,13407,1824,12470,1828,937,399,5198,1062,12399,1544,10875,1426,0,192,10875,1426,10595,1427,280,243,1524,620
48540,"Wheeling, WV-OH Metro Area",78053,544,7432,1566,3902,1080,0,184,3902,1080,3709,1079,193,143,3530,862,29387,1589,20559,1656,0,184,20559,1656,18908,1500,1651,570,8828,1060,25403,2247,19684,1891,0,184,19684,1891,17893,1586,1791,734,5719,980,15831,1653,13860,1493,0,184,13860,1493,13374,1478,486,261,1971,492
48620,"Wichita, KS Metro Area",321870,1138,30347,3155,19870,2340,0,165,19870,2340,18200,2238,1670,644,10477,2007,82533,4594,60779,4271,246,323,60533,4256,54823,3992,5710,1092,21754,2282,114154,5143,91573,4524,1138,518,90435,4527,85130,4292,5305,1116,22581,2361,94836,4244,82555,4027,624,405,81931,4011,79819,3870,2112,609,12281,1347
48660,"Wichita Falls, TX Metro Area",75484,860,7996,1108,3875,818,0,206,3875,818,3521,815,354,231,4121,862,24778,2085,17227,2012,98,161,17129,2019,16503,2027,626,321,7551,1422,27026,2244,21511,2064,892,584,20619,2049,19652,1998,967,523,5515,999,15684,1681,13746,1586,855,373,12891,1569,12630,1569,261,206,1938,553
48700,"Williamsport, PA Metro Area",60572,582,5428,1039,3435,757,0,165,3435,757,2675,632,760,419,1993,620,23920,1737,17595,1422,0,165,17595,1422,16140,1351,1455,671,6325,1173,18411,1643,15254,1549,25,42,15229,1553,14621,1516,608,292,3157,626,12813,1601,11422,1496,0,165,11422,1496,10983,1460,439,259,1391,423
48900,"Wilmington, NC Metro Area",197249,1084,18716,2750,11877,2115,0,193,11877,2115,9273,1744,2604,1205,6839,1767,47670,3164,33873,2929,115,192,33758,2990,30146,2890,3612,833,13797,1798,69731,3663,52752,3395,242,219,52510,3344,48829,3372,3681,980,16979,2284,61132,3379,50051,3420,505,393,49546,3328,47456,3301,2090,636,11081,1699
49020,"Winchester, VA-WV Metro Area",69350,1730,7472,1454,4135,1029,0,184,4135,1029,3340,988,795,476,3337,1170,23406,2388,17341,2136,0,184,17341,2136,16103,2062,1238,609,6065,1134,19688,2072,16704,1929,0,184,16704,1929,15618,1942,1086,574,2984,1056,18784,1696,16352,1703,0,184,16352,1703,15661,1711,691,364,2432,893
49180,"Winston-Salem, NC Metro Area",254388,1279,34686,3106,23169,2474,0,193,23169,2474,19094,2307,4075,1173,11517,1743,67164,3931,48891,3862,65,100,48826,3866,42187,3523,6639,1447,18273,1985,75005,4288,58300,4169,43,71,58257,4162,53277,4151,4980,958,16705,1775,77533,3778,66130,3530,23,37,66107,3528,63129,3545,2978,809,11403,1238
49340,"Worcester, MA Metro Area",435572,332,34545,3297,17925,2805,0,195,17925,2805,14961,2388,2964,906,16620,1934,119543,5048,90973,4490,0,195,90973,4490,80798,4185,10175,1982,28570,3200,125767,5555,106032,5480,220,264,105812,5469,98288,5225,7524,1310,19735,2099,155717,5411,136150,5032,75,120,136075,5037,130879,4924,5196,1124,19567,2115
49420,"Yakima, WA Metro Area",117473,527,34130,2337,24148,2090,0,192,24148,2090,21053,1947,3095,1153,9982,1359,30178,2473,21566,2243,0,192,21566,2243,20002,2205,1564,600,8612,1519,36280,2298,28412,2313,63,104,28349,2298,25273,2292,3076,901,7868,1192,16885,2199,14289,1877,36,62,14253,1872,13817,1822,436,356,2596,612
49620,"York-Hanover, PA Metro Area",235415,565,21986,2244,14583,1665,0,165,14583,1665,12097,1636,2486,847,7403,1364,93505,3845,72949,3758,87,142,72862,3781,67038,3695,5824,1194,20556,1840,62884,3275,51924,2973,133,123,51791,2987,48872,2968,2919,671,10960,1514,57040,3646,49043,3170,82,126,48961,3153,47702,3160,1259,507,7997,1303
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",288721,957,26002,2283,13440,1774,0,184,13440,1774,11609,1653,1831,576,12562,1327,115712,3777,78959,3527,0,184,78959,3527,72385,3236,6574,1117,36753,2410,86777,3476,66297,3028,230,154,66067,3052,61135,3242,4932,987,20480,1976,60230,3064,51298,2934,0,184,51298,2934,48988,2825,2310,673,8932,1160
49700,"Yuba City, CA Metro Area",83187,702,15729,1678,9036,1140,0,197,9036,1140,6864,1018,2172,749,6693,1265,18873,2067,12721,1699,30,54,12691,1707,10627,1466,2064,655,6152,1085,34469,2543,26315,2576,1307,554,25008,2571,22852,2396,2156,845,8154,1281,14116,1886,11719,1769,653,614,11066,1652,10242,1562,824,381,2397,571
49740,"Yuma, AZ Metro Area",89065,500,24373,2064,15284,2043,0,198,15284,2043,12140,1747,3144,819,9089,1267,19427,2228,12348,2026,329,192,12019,2006,10779,2000,1240,472,7079,1289,31678,2707,24044,2316,416,258,23628,2306,21204,2164,2424,793,7634,1242,13587,2333,11399,2168,728,402,10671,2121,10029,2026,642,514,2188,602
